mean [tax_paid] of consumers,mean [tax_collected] of consumers,mean [asked_someone_to_broker] of consumers,mean [brokered_for_someone] of consumers,mean [brokered_for_new_user] of consumers,mean [pinched] of consumers,mean [selling_price] of dealers,count dealers,count consumers
0.0,1094.2745098039218,136.63725490196077,56.607843137254896,56.862745098039206,8.616990028600135,126.83333333333331,18,102
0.0,1239.32,134.85,63.13,63.13,10.116897959183676,122.5,22,100
1697.970297029703,1697.970297029703,142.35643564356437,86.95049504950495,86.95049504950495,13.090927460092946,129.70588235294122,17,101
0.0,1259.3673469387754,134.64285714285714,64.62244897959185,64.06122448979592,10.12070194954292,124.43478260869566,23,98
0.0,1250.1584158415844,133.0990099009901,64.03960396039604,63.92079207920793,10.399367396942301,120.17391304347828,23,101
1242.96,1247.47,151.3,63.63,63.44,10.541999999999998,118.33333333333331,9,100
0.0,1211.31,136.51,62.46,62.46,9.56045777426993,126.7,20,100
0.0,1023.4949494949497,148.11111111111111,52.464646464646464,52.95959595959596,7.97114446647157,128.4,10,99
0.0,982.45,149.96,50.6,50.57,7.7155759162303665,127.33333333333331,9,100
1450.2020202020199,1461.4747474747476,148.82828282828282,74.32323232323232,73.77777777777777,11.00231930344854,132.83333333333334,12,99
0.0,919.265306122449,151.4795918367347,47.57142857142857,48.63265306122449,7.824994202226348,117.33333333333331,9,98
1242.5204081632653,1241.0102040816328,155.44897959183675,63.78571428571429,63.897959183673464,8.765965114602855,141.57142857142858,7,98
0.0,1035.060606060606,149.02020202020202,52.989898989899,52.898989898989896,8.456377500495147,122.4,10,99
0.0,1000.7244897959184,149.7040816326531,51.265306122448976,50.561224489795926,9.005394733821538,111.125,8,98
0.0,1065.65,143.03,54.65,54.59,8.92909090909091,119.16666666666669,12,100
1420.1752577319587,1422.4639175257732,153.43298969072166,72.84536082474227,72.7216494845361,10.687911948622618,133.0909090909091,11,97
0.0,993.54,148.77,50.84,50.81,7.712731122088925,128.8181818181818,11,100
0.0,1072.3645833333333,148.33333333333334,54.375,52.76041666666666,9.087835451977401,118.0,9,96
1079.561224489796,1067.5714285714287,157.1530612244898,54.734693877551024,55.40816326530612,8.428195488721805,126.66666666666669,6,98
0.0,1010.8367346938776,147.3673469387755,51.979591836734684,51.6530612244898,8.268073046802945,122.0,10,98
1284.5294117647059,1297.8823529411764,147.11764705882354,67.00980392156863,66.34313725490196,10.183906867018823,127.44444444444444,9,102
0.0,975.5533980582524,143.21359223300968,50.22330097087379,50.0,7.795696415235251,124.8,10,103
0.0,1030.4554455445545,143.9108910891089,53.38613861386138,52.34653465346535,8.857783199523391,116.33333333333331,12,101
0.0,914.3,148.52,47.13,47.51,7.049691516709513,129.66666666666666,9,100
1262.3131313131316,1272.5555555555557,151.6060606060606,65.6969696969697,65.18181818181819,9.395406070549633,135.44444444444446,9,99
0.0,905.06,150.41,46.42,46.6,6.967955517536358,129.88888888888889,9,100
0.0,1027.7575757575758,146.5151515151515,53.111111111111114,53.75757575757576,7.507359939792372,136.9,10,99
0.0,972.0927835051547,151.9587628865979,50.03092783505154,49.39175257731959,8.33698785167371,116.6,10,97
1339.8265306122448,1346.5408163265304,151.87755102040816,69.04081632653062,68.70408163265307,11.200431928778903,120.22222222222223,9,98
0.0,1044.8989898989896,147.15151515151516,53.81818181818182,53.67676767676768,8.0171277997365,130.33333333333334,12,99
0.0,1123.0520833333333,144.28125,57.4375,56.79166666666666,8.687463373183308,129.27272727272728,11,96
0.0,1029.111111111111,147.53535353535352,52.868686868686865,52.82828282828282,8.089082969432315,127.22222222222223,9,99
1401.97,1407.6,149.69,71.96,71.67,10.767454798331014,130.72727272727272,11,100
0.0,900.4059405940594,150.7128712871287,46.40594059405941,46.40594059405941,6.804075117839237,132.33333333333334,6,101
1346.5204081632653,1365.1326530612246,151.5204081632653,70.39795918367345,69.39795918367346,9.977713743304633,136.8181818181818,11,98
0.0,999.9306930693068,147.4851485148515,51.1980198019802,51.1980198019802,7.8051832069590334,128.11111111111111,9,101
0.0,1127.1616161616162,143.14141414141417,57.555555555555564,57.444444444444436,10.600265982711123,106.33333333333331,12,99
1225.39,1235.75,150.64,63.52,62.99,9.598058252427183,128.75,8,100
0.0,1056.8316831683169,144.64356435643563,53.851485148514854,53.86138613861386,8.867390171511428,119.1818181818182,11,101
0.0,1112.55,139.88,57.08,58.3,8.420038095238095,131.25,16,100
0.0,1073.1145833333333,146.22916666666666,54.69791666666666,55.77083333333334,9.186194876783402,116.8181818181818,11,96
1287.9,1281.47,148.17,65.32,65.67,9.167909379968206,139.77777777777777,9,100
0.0,961.3229166666665,153.20833333333334,49.16666666666666,49.13541666666666,7.659943559096948,125.5,8,96
