"BehaviorSpace results (NetLogo 5.3.1)"
"drug_model.nlogo"
"experiment 1.0"
"04/18/2017 15:42:49:975 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","tolerance_limit","no_of_dealers","no_of_consumers","consumer_network","franchise_limit","leave_consumer","surplus","suspicion","allow_direct_connection","new_consumer","[step]","mean [tax_paid] of consumers","mean [tax_collected] of consumers","mean [asked_someone_to_broker] of consumers","mean [brokered_for_someone] of consumers","mean [brokered_for_new_user] of consumers","mean [pinched] of consumers","mean [selling_price] of dealers","count dealers","count consumers"
"19","3","25","100","1","10","10","24","5","1","50","17280","0","988.7821782178218","148.96039603960395","50.396039603960396","50.396039603960396","8.491450003779006","116.44444444444444","9","101"
"20","3","25","100","1","10","10","24","5","1","50","17280","0","1091.990099009901","140.83168316831683","56","55.86138613861386","8.950738516474596","122","12","101"
"21","3","25","100","1","10","10","24","5","5","10","17280","0","954.23","150.7","48.74","48.88","8.026233644859813","118.88888888888889","9","100"
"22","3","25","100","1","10","10","24","5","5","10","17279","1403.61","1403.61","149.72","72.32","72.32","10.517513623978205","133.45454545454547","11","100"
"23","3","25","100","1","10","10","24","5","5","10","17280","0","1025.2424242424242","148.5050505050505","52.14141414141414","52.15151515151515","8.615482556659027","119","11","99"
"26","3","25","100","1","10","10","24","5","5","10","17279","1117.42","1117.42","154.72","57.22","57.22","8.915585106382977","125.33333333333333","6","100"
"24","3","25","100","1","10","10","24","5","5","10","17280","0","1104.530612244898","145.5408163265306","56.59183673469388","56.8469387755102","8.796034454737526","125.57142857142857","14","98"
"25","3","25","100","1","10","10","24","5","5","10","17280","0","927.939393939394","152.4848484848485","47.43434343434343","47.09090909090909","7.075790585594506","131.14285714285714","7","99"
"28","3","25","100","1","10","10","24","5","5","10","17279","957.1188118811881","957.1188118811881","156.98019801980197","48.76237623762376","48.76237623762376","6.25567850902737","153","5","101"
"27","3","25","100","1","10","10","24","5","5","10","17280","0","1038.81","145.31","53.18","53.18","8.716178489702516","119.18181818181819","11","100"
"29","3","25","100","1","10","10","24","5","5","10","17280","0","1070.41","144.65","55.04","55.04","9.184485179407178","116.54545454545455","11","100"
"30","3","25","100","1","10","10","24","5","5","10","17280","0","1062.8910891089108","143.47524752475246","54.65346534653465","54.65346534653465","8.218230070429723","129.2","15","101"
"31","3","25","100","1","10","10","24","5","5","50","17279","1422.1818181818182","1423.0707070707072","150.87878787878788","72.9090909090909","72.85858585858585","11.364362345728798","125.22222222222223","9","99"
"32","3","25","100","1","10","10","24","5","5","50","17280","0","941.41","150.01","48.48","48.48","6.940837751855782","136.85714285714286","7","100"
"33","3","25","100","1","10","10","24","5","5","50","17280","0","1051.4646464646464","147.3030303030303","53.41414141414141","53.22222222222222","7.771357327898347","135.3","10","99"
"34","3","25","100","1","10","10","24","5","5","50","17280","0","1048.039603960396","143.9009900990099","54.257425742574256","54.37623762376238","9.187510856348792","114","12","101"
"35","3","25","100","1","10","10","24","5","5","50","17279","1430.3557692307693","1430.3557692307693","143.17307692307693","73.6826923076923","73.6826923076923","10.552591188154567","135.54545454545453","11","104"
"36","3","25","100","1","10","10","24","5","5","50","17280","0","1032.1515151515152","146.95959595959596","52.77777777777778","52.41414141414141","8.434333116662023","122.375","8","99"
"37","3","25","100","1","10","10","24","5","5","50","17280","0","970.9126213592233","143.88349514563106","49.79611650485437","49.44660194174757","7.966462534229525","121.875","8","103"
"39","3","25","100","1","10","10","24","5","5","50","17279","1367.6633663366338","1367.6633663366338","148.02970297029702","70.25742574257426","70.25742574257426","10.569268673389752","129.4","10","101"
"38","3","25","100","1","10","10","24","5","5","50","17280","0","1008.1960784313726","142.5392156862745","51.794117647058826","51.64705882352941","8.38550800998582","120.23076923076923","13","102"
"40","3","25","100","1","10","10","24","5","5","50","17280","0","933.990099009901","149.73267326732673","47.92079207920792","47.92079207920792","8.060718463777212","115.66666666666667","9","101"
"42","3","25","100","1","10","10","24","10","1","10","17279","1611.99","1611.99","145.78","83.17","83.17","12.007374301675977","134.25","16","100"
"41","3","25","100","1","10","10","24","10","1","10","17280","0","1336.989898989899","131.11111111111111","68.38383838383838","68.46464646464646","11.047917188413056","121","28","99"
"43","3","25","100","1","10","10","24","10","1","10","17280","0","1307.5247524752476","127.51485148514851","66.63366336633663","66.63366336633663","10.677303184554594","122.45833333333333","24","101"
"45","3","25","100","1","10","10","24","10","1","10","17279","1571.6868686868686","1563.121212121212","145.989898989899","80.04040404040404","80.4949494949495","10.78014629049112","145","15","99"
"44","3","25","100","1","10","10","24","10","1","10","17280","0","1153.5841584158416","137.96039603960395","59.386138613861384","59.386138613861384","9.613201320132013","120","18","101"
"46","3","25","100","1","10","10","24","10","1","10","17280","0","1197.16","137.41","61.77","61.77","9.75467547609794","122.52380952380952","21","100"
"47","3","25","100","1","10","10","24","10","1","10","17280","0","1190.24","133.64","61.28","61.61","9.901497730711045","120.18181818181819","22","100"
"48","3","25","100","1","10","10","24","10","1","10","17279","1575.1010101010102","1568.4242424242425","146.6060606060606","79.78787878787878","80.13131313131314","11.828237122354766","132.6","15","99"
"49","3","25","100","1","10","10","24","10","1","10","17280","0","1217.5858585858587","135.04040404040404","62.333333333333336","62.06060606060606","9.765544618625187","124.68181818181819","22","99"
